file,is_intact,details
60_20200219-145220_003_plantE_day9.txt,n,"Edge assignment failed: (64, [34, 0]); 33; 2; ['129.0 596.0 0', '[34,2]']"
33_20200213-171421_009_plantB_day3.txt,y,Done!
25_20200205-215844_026_plantE_day2.txt,y,Done!
6_20200205-214859_002_plantB_day6.txt,y,Done!
2_20200205-214859_001_plantD_day12.txt,n,"Edge assignment failed: (32, [19, 0]); 18; 4; ['16.0 470.0 0', '[19,4]']"
90_set1_day13_20200329-140102_018_plantE_day12.txt,n,"Edge assignment failed: (82, [26, 0]); 25; 5; ['0.0 419.0 0', '[26,5]']"
74_set1_day13_20200329-135710_002_plantC_day7.txt,n,"Edge assignment failed: (27, [18, 0]); 17; 1; ['66.0 216.0 0', '[18,1] [17,2]']"
61_20200219-145348_010_plantD_day7.txt,y,Done!
29_20200205-215844_028_plantD_day5.txt,y,Done!
27_20200205-215844_027_plantD_day8.txt,y,Done!
94_set1_day13_20200329-140102_022_plantB_day3.txt,y,Done!
41_20200213-171421_012_plantA_day11.txt,n,"Edge assignment failed: (112, [28, 0]); 27; 5; ['-61.0 470.0 0', '[28,4] [27,5]']"
89_set1_day13_20200329-140102_017_plantB_day4.txt,y,Done!
43_20200213-171421_013_plantA_day13.txt,n,"Edge assignment failed: (15, [9, 0]); 8; 3; ['20.0 163.0 0', '[9,3]']"
34_20200213-171245_001_plantB_day3.txt,y,Done!
25_20200205-215844_026_plantD_day12.txt,n,"Edge assignment failed: (15, [9, 0]); 8; 3; ['-19.0 108.0 0', '[9,4]']"
48_20200213-171421_015_plantD_day2.txt,y,Done!
74_set1_day13_20200329-135710_002_plantD_day3.txt,y,Done!
22_20200205-215844_025_plantB_day10.txt,n,"Edge assignment failed: (27, [20, 0]); 19; 1; ['30.0 453.0 0', '[20,1] [19,2]']"
54_20200219-145220_002_plantD_day9.txt,n,"Edge assignment failed: (66, [33, 0]); 32; 3; ['57.0 524.0 0', '[33,3]']"
10_20200205-215035_012_plantE_day7.txt,y,Done!
10_20200205-215035_012_plantC_day10.txt,n,"Edge assignment failed: (8, [7, 0]); 6; 2; ['91.0 111.0 0', '[7,2] [6,3]']"
104_20200329-140231_032_plantB_day10.txt,n,"Edge assignment failed: (77, [52, 0]); 52; 2; ['121.0 1328.0 0', '[53,1]']"
68_20200219-145348_012_plantC_day6.txt,y,Done!
91_set1_day13_20200329-140102_019_plantA_day5.txt,y,Done!
33_20200213-171421_009_plantA_day6.txt,y,Done!
43_20200213-171421_013_plantE_day6.txt,y,Done!
35_20200213-171421_010_plantC_day1.txt,y,Done!
56_20200219-145348_009_plantD_day9.txt,y,Done!
92_set1_day13_20200329-140102_020_plantC_day1.txt,y,Done!
53_20200219-145348_008_plantB_day6.txt,y,Done!
37_20200213-171245_002_plantC_day6.txt,y,Done!
12_20200205-215035_013_plantC_day12.txt,n,"Edge assignment failed: (33, [12, 0]); 11; 5; ['45.0 311.0 0', '[12,5] [12,6]']"
15_20200205-214859_006_plantC_day9.txt,n,"Edge assignment failed: (65, [25, 0]); 24; 5; ['-17.0 725.0 0', '[25,5]']"
23_20200205-215715_017_plantE_day4.txt,y,Done!
74_set1_day13_20200329-135710_002_plantA_day1.txt,y,Done!
54_20200219-145220_002_plantD_day3.txt,y,Done!
39_20200213-171421_011_plantC_day13.txt,n,"Edge assignment failed: (63, [30, 0]); 29; 5; ['10.0 537.0 0', '[30,5]']"
53_20200219-145348_008_plantB_day1.txt,y,Done!
